code,name
24,Nissan 180SX Type X '96
31,Chevrolet Camaro Z28 '69
36,Chevrolet Chevelle SS 454 Sport Coupé '70
37,Honda Civic SiR-II (EG) '93
41,Chevrolet Corvette Stingray (C3) '69
48,Nissan Fairlady 240ZG (HS30) '71
51,Mitsubishi FTO GP Version R '97
63,Toyota Corolla Levin 1600GT APEX (AE86) '83
78,Nissan Silvia K's Aero (S14) '96
82,Toyota Supra RZ '97
102,Nissan Skyline GTS-R (R31) '87
104,Nissan Sileighty '98
105,Peugeot 205 Turbo 16 Evolution 2 '86
116,Toyota GT-One (TS020) '99
135,Honda S800 '66
137,Honda Beat '91
140,Honda NSX GT500 '00
145,Daihatsu Copen '02
173,Renault R5 Turbo '80
187,TVR Tuscan Speed 6 '00
201,Mazda Eunos Roadster (NA) '89
203,Honda Integra Type R (DC2) '98
204,Honda Civic Type R (EK) '98
205,Mazda RX-7 Spirit R Type A (FD) '02
207,Toyota MR2 GT-S '97
210,Nissan R34 GT-R V-spec II Nur '02
211,Mitsubishi Lancer Evolution V GSR '98
216,BMW McLaren F1 GTR Race Car '97
293,Honda NSX Type R '92
296,Mazda 787B '91
301,Mitsubishi Lancer Evolution IV GSR '96
315,Shelby Cobra 427 '66
334,Renault Clio V6 24V '00
345,Toyota Sprinter Trueno 1600GT APEX (S.Shigeno Version)
365,Alfa Romeo 155 2.5 V6 TI '93
374,Mazda RX-7 GT-X (FC) '90
379,Subaru Impreza Coupe WRX Type R STi Ver.VI '99
387,Mercedes-Benz 300 SL Coupe '54
396,Honda NSX Type R '02
451,Subaru Impreza 22B-STi '98
485,Nissan GT-R GT500 '99
489,Nissan R33 GT-R V-spec '97
514,Honda S2000 '99
533,Lancia Stratos '73
543,Jaguar XJ220 '92
575,Mercedes-Benz 190 E 2.5-16 Evolution II '91
604,Toyota 2000GT '67
655,BMW Z4 3.0i '03
665,Plymouth Superbird '70
688,Honda Integra Type R (DC2) '95
709,Nissan Fairlady Z 300ZX TT 2seater '89
729,Renault Avantime 3.0 V6 24V '02
761,Lancia Lancia Delta HF Integrale Rally Car '92
773,Nissan R32 GT-R V-spec II '94
779,Suzuki Cappuccino (EA11R) '91
781,Toyota Celica GT-FOUR Rally Car (ST205) '95
799,Mitsubishi Lancer Evolution VIII MR GSR '04
808,Suzuki V6 Escudo Pikes Peak Special spec.98
810,Toyota Sprinter Trueno 1600GT APEX (AE86) '83
818,Chevrolet Corvette (C2) '63
821,Honda Civic Type R (EK) '97
829,Lancia Delta HF Integrale Evoluzione '91
836,Nissan Skyline 2000GT-R (KPGC110) '73
837,Nissan Skyline Hard Top 2000GT-R (KPGC10) '70
843,Toyota Supra 3.0GT Turbo A '88
919,Nissan Silvia Q's (S13) '88
931,Mitsubishi Lancer Evolution III GSR '95
942,Chevrolet Corvette ZR-1 (C4) '89
954,Nissan R92CP '92
959,Audi TT Coupe 3.2 quattro '03
967,Mazda efini RX-7 Type R (FD) '91
998,Mercedes-Benz Sauber Mercedes C9 '89
1027,DMC DeLorean S2 '04
1040,Ford Ford GT LM Race Car Spec II
1044,Toyota Sports 800 '65
1067,Jaguar XJR-9 '88
1069,Chaparral 2J '70
1365,Audi R8 4.2 '07
1370,MINI MINI Cooper S '05
1373,Dodge Viper GTS '02
1378,Ferrari F430 '06
1384,Nissan Fairlady Z Version S (Z33) '07
1385,Suzuki Swift Sport '07
1399,BMW M3 '07
1402,Dodge Viper SRT10 Coupe '06
1409,Ferrari F40 '92
1410,Ferrari 512 BB '76
1425,Ford Ford GT LM Spec II Test Car
1426,Ford Ford GT '06
1427,Mine's BNR34 GT-R N1 base
1431,RE Amemiya RE Amemiya FD3S RX-7
1433,Amuse Amuse S2000 GT1 Turbo
1448,Nissan SILVIA spec-R Aero (S15) '02
1458,Nissan Fairlady Z (Z34) '08
1461,Nissan Silvia K's Dia Selection (S13) '90
1466,Nissan GT-R GT500 '08
1470,Toyota Supra GT500 '97
1474,Ferrari Enzo Ferrari '02
1480,Chevrolet Corvette ZR1 (C6) '09
1481,Lamborghini Countach 25th Anniversary '88
1484,Lamborghini Countach LP400 '74
1504,Ferrari 458 Italia '09
1506,Lamborghini Gallardo LP 560-4 '08
1507,AMG SLS AMG '10
1508,Mitsubishi Lancer Evolution VI GSR T.M. SCP '99
1510,Honda NSX GT500 '08
1516,Lexus SC430 GT500 '08
1523,Fiat 500 F '68
1527,Fiat 500 1.2 8V Lounge SS '08
1528,Mercedes-Benz SLR McLaren '09
1536,Pagani Zonda R '09
1537,Toyota Prius G '09
1539,Maserati GranTurismo S '08
1540,McLaren McLaren F1 '94
1541,Audi TTS Coupe '09
1542,Chevrolet Corvette Convertible (C3) '69
1543,Dodge Challenger R/T '70
1544,Ferrari 430 Scuderia '07
1545,Lamborghini Murcielago LP 640 '09
1549,Amuse Amuse NISMO 380RS Super Leggera
1551,Ferrari 330 P4 '67
1553,Jaguar XJ13 '66
1562,Lexus LFA '10
1563,Renault Megane Trophy '11
1565,Ford Mark IV Race Car '67
1578,Alfa Romeo 8C Competizione '08
1581,Citroen GT by Citroen Road Car
1582,Lamborghini Miura P400 Bertone Prototype '67
1645,Alfa Romeo GIULIA TZ2 carrozzata da ZAGATO '65
1646,Peugeot 908 HDi FAP '10
1671,Volkswagen Sambabus Typ 2 '62
1689,Honda Civic Type R (EK) Touring Car
1722,McLaren MP4-12C '10
1729,Ford Mustang Mach 1 '71
1746,Mazda Roadster Touring Car
1770,Lamborghini Aventador LP 700-4 '11
1773,Volkswagen Scirocco R '10
1778,Volkswagen Volkswagen 1200 '66
1796,Alpine A110 '72
1797,AMG SLS AMG GT3 '11
1893,BMW Z8 '01
1895,Ferrari Dino 246 GT '71
1896,Tesla Model S Signature Performance '12
1898,Aston Martin One-77 '11
1900,Plymouth XNR Ghia Roadster '60
1902,BMW Z4 GT3 '11
1904,BMW M3 GT '11
1905,Nissan GT-R NISMO GT3 '13
1907,KTM X-BOW R '12
1916,Chevrolet Corvette C7 '14
1925,Shelby G.T.350 '65
1926,Shelby Cobra Daytona Coupe '64
1927,Audi Sport quattro S1 Pikes Peak '87
1931,Ferrari 250 GT Berlinetta passo corto '61
1932,Abarth 1500 Biposto Bertone B.A.T 1 '52
1933,Alfa Romeo MiTo '09
1935,Ford GT40 Mark I '66
1956,Dodge Viper GTS '13
1965,Audi R18 TDI '11
1973,Abarth Abarth 500 '09
1975,Mazda RX500 '70
1984,McLaren McLaren F1 GTR - BMW '95
1985,Pontiac Firebird Trans Am '78
1986,Renault R8 Gordini '66
1987,Renault Megane R.S. Trophy '11
1990,Lamborghini Diablo GT '00
2010,Ferrari 250 GTO '62
2011,Ferrari 500 Mondial Pinin Farina Coupe '54
2017,Ferrari GTO '84
2018,Ferrari 365 GTB4 '71
2026,Toyota Aqua S '11
2049,Bugatti Veyron 16.4 '13
2050,Pagani Huayra '13
2051,Hyundai Genesis Coupe 3.8 '13
2055,AMG Mercedes-Benz AMG VGT
2059,Chevrolet Corvette Stingray Racer Concept '59
2060,Gran Turismo Racing Kart 125 Shifter
2074,BMW M4 '14
2076,AMG Mercedes-Benz AMG VGT Racing Series
2077,Gran Turismo Red Bull X2014 Standard
2078,Gran Turismo Red Bull X2014 Junior
2080,Toyota FT-1
2087,BMW BMW VGT
2095,Mitsubishi Concept XR-PHEV EVOLUTION VGT
2098,Volkswagen GTI Roadster VGT
2099,Subaru VIZIV GT VGT
2101,Toyota TS030 Hybrid '12
2103,Aston Martin DP-100 VGT
2106,Toyota FT-1 VGT
2107,Chaparral Chaparral 2X VGT
2108,Dodge SRT Tomahawk X VGT
2109,MINI MINI Clubman VGT
2110,Dodge SRT Tomahawk GTS-R VGT
2111,Dodge SRT Tomahawk S VGT
2112,Alpine Alpine VGT
2113,Peugeot PEUGEOT VGT
2116,Alpine Alpine VGT Race
